Jogador,Time,#,Nação,Pos.,Idade,Min.,Gols,Assis.,PB,PT,TC,CaG,CrtsA,CrtV,Contatos,Div,Crts,Bloqueios,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Conduções,PrgC,Tent,Suc,Data
Renzo Saravia,Atlético Mineiro,26,ARG,CB,30-352,90.0,0,0,0,0,4,0,0,0,103.0,1.0,2,2.0,0.1,0.1,0.1,4.0,0.0,80.0,89.0,"89,9",15.0,63.0,0.0,1.0,1.0,2024-06-02
Éverson,Atlético Mineiro,22,BRA,GK,33-316,90.0,0,0,0,0,0,0,1,0,25.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,"92,0",0.0,14.0,0.0,0.0,0.0,2024-06-02
Thaciano,Bahia,16,BRA,FW,29-021,56.0,0,0,0,0,1,0,1,0,13.0,0.0,0,1.0,0.1,0.1,0.0,3.0,0.0,7.0,8.0,"87,5",0.0,3.0,0.0,1.0,0.0,2024-06-02
Ademir Santos,Bahia,7,BRA,"RM,FW",29-107,34.0,1,0,0,0,1,1,0,0,9.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,"50,0",0.0,5.0,2.0,1.0,1.0,2024-06-02
Everaldo Stum,Bahia,9,BRA,FW,32-333,64.0,0,0,0,0,2,1,0,0,26.0,0.0,0,1.0,0.1,0.1,0.0,1.0,0.0,7.0,14.0,"50,0",1.0,19.0,2.0,4.0,1.0,2024-06-02
Oscar Estupiñan,Bahia,29,COL,FW,27-156,26.0,0,1,0,0,0,0,1,0,12.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,"62,5",1.0,7.0,0.0,1.0,0.0,2024-06-02
Cauly Oliveira Souza,Bahia,8,BRA,AM,28-261,64.0,0,0,0,0,1,0,0,0,39.0,0.0,1,1.0,0.0,0.0,0.1,4.0,0.0,23.0,30.0,"76,7",3.0,17.0,2.0,4.0,3.0,2024-06-02
Carlos de Pena,Bahia,14,URU,CM,32-083,26.0,0,0,0,0,0,0,0,0,17.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,16.0,"50,0",4.0,8.0,0.0,0.0,0.0,2024-06-02
Jean Lucas,Bahia,6,BRA,"LM,CM",25-346,90.0,0,0,0,0,2,0,0,0,25.0,1.0,0,1.0,0.1,0.1,0.0,2.0,0.0,15.0,19.0,"78,9",1.0,14.0,1.0,2.0,1.0,2024-06-02
Everton Ribeiro,Bahia,10,BRA,RM,35-053,64.0,0,0,0,0,1,0,0,0,33.0,1.0,2,0.0,0.0,0.0,0.1,2.0,0.0,25.0,28.0,"89,3",2.0,21.0,1.0,0.0,0.0,2024-06-02
Biel,Bahia,11,BRA,LM,23-062,26.0,0,0,0,0,0,0,1,0,7.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,"100,0",0.0,5.0,0.0,0.0,0.0,2024-06-02
Caio Alexandre,Bahia,19,BRA,DM,25-099,82.0,0,0,0,0,0,0,0,0,42.0,2.0,0,3.0,0.0,0.0,0.0,0.0,0.0,29.0,32.0,"90,6",2.0,20.0,1.0,0.0,0.0,2024-06-02
Rezende,Bahia,5,BRA,DM,29-152,8.0,0,0,0,0,0,0,0,0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2024-06-02
Luciano Juba,Bahia,46,BRA,LB,24-278,90.0,0,0,0,0,1,0,0,0,49.0,1.0,0,0.0,0.1,0.1,0.1,1.0,0.0,26.0,40.0,"65,0",2.0,21.0,1.0,1.0,1.0,2024-06-02
Kanu,Bahia,4,BRA,CB,27-087,90.0,0,0,0,0,0,0,0,0,43.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,34.0,"88,2",0.0,21.0,0.0,0.0,0.0,2024-06-02
Gabriel,Bahia,3,BRA,CB,23-027,90.0,0,0,0,0,0,0,1,0,29.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,26.0,"73,1",1.0,10.0,0.0,0.0,0.0,2024-06-02
Santiago Arias,Bahia,13,COL,RB,32-141,90.0,0,0,0,0,0,0,0,0,48.0,0.0,0,4.0,0.0,0.0,0.0,1.0,0.0,34.0,40.0,"85,0",8.0,18.0,1.0,0.0,0.0,2024-06-02
Marcos Felipe,Bahia,22,BRA,GK,28-050,90.0,0,0,0,0,0,0,0,0,55.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,53.0,"67,9",0.0,25.0,0.0,0.0,0.0,2024-06-02
Pablo Vegetti,Vasco da Gama,99,ARG,FW,35-231,90.0,1,0,0,0,1,1,1,0,27.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,15.0,23.0,"65,2",0.0,5.0,0.0,0.0,0.0,2024-06-02
Dimitri Payet,Vasco da Gama,10,FRA,"AM,LM",37-065,58.0,0,0,0,0,0,0,0,0,24.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,21.0,"76,2",3.0,11.0,0.0,2.0,2.0,2024-06-02
Bruno Praxedes,Vasco da Gama,21,BRA,RM,22-115,25.0,0,0,0,0,0,0,0,0,9.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,"57,1",0.0,3.0,0.0,0.0,0.0,2024-06-02
Victor Luis,Vasco da Gama,12,BRA,LM,30-345,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2024-06-02
Rayan Vitor,Vasco da Gama,77,BRA,AM,17-304,45.0,0,0,0,0,1,1,0,0,15.0,1.0,0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,12.0,"58,3",0.0,7.0,1.0,1.0,0.0,2024-06-02
Rossi,Vasco da Gama,31,BRA,"LM,RM",31-041,45.0,0,0,0,0,0,0,0,0,12.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,"77,8",3.0,4.0,0.0,0.0,0.0,2024-06-02
Juan Sforza,Vasco da Gama,20,ARG,CM,22-109,58.0,0,0,0,0,0,0,0,0,24.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,"88,2",0.0,9.0,0.0,0.0,0.0,2024-06-02
Paulo Henrique,Vasco da Gama,96,BRA,RB,27-313,32.0,0,0,0,0,0,0,0,0,9.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,"57,1",0.0,4.0,1.0,0.0,0.0,2024-06-02
Pablo Galdames Millán,Vasco da Gama,27,CHI,CM,27-155,90.0,0,1,0,0,0,0,0,0,36.0,2.0,0,1.0,0.0,0.0,0.1,1.0,1.0,24.0,28.0,"85,7",5.0,15.0,0.0,1.0,0.0,2024-06-02
Lucas Piton,Vasco da Gama,6,BRA,"LB,WB",23-237,90.0,0,0,0,0,0,0,0,0,30.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0,"71,4",1.0,10.0,0.0,1.0,1.0,2024-06-02
José Luis Rodríguez Bebanz,Vasco da Gama,2,URU,"WB,RB",27-080,58.0,0,0,0,0,0,0,0,0,38.0,4.0,1,1.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,"45,8",2.0,8.0,1.0,0.0,0.0,2024-06-02
Zé Gabriel,Vasco da Gama,23,BRA,CM,25-133,32.0,0,0,0,0,0,0,1,0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,"50,0",0.0,5.0,1.0,1.0,1.0,2024-06-02
Léo Pelé,Vasco da Gama,3,BRA,CB,28-088,90.0,0,0,0,0,0,0,0,0,30.0,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,"75,0",0.0,8.0,0.0,0.0,0.0,2024-06-02
João Victor,Vasco da Gama,38,BRA,CB,25-321,44.0,0,0,0,0,0,0,0,1,13.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,"100,0",2.0,5.0,0.0,0.0,0.0,2024-06-02
Maicon,Vasco da Gama,4,BRA,CB,35-262,90.0,0,0,0,0,0,0,0,0,35.0,2.0,1,1.0,0.0,0.0,0.0,1.0,0.0,16.0,25.0,"64,0",0.0,15.0,0.0,0.0,0.0,2024-06-02
Léo Jardim,Vasco da Gama,1,BRA,GK,29-074,90.0,0,0,0,0,0,0,0,0,31.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,26.0,"53,8",0.0,16.0,0.0,0.0,0.0,2024-06-02
Pedro,Flamengo,9,BRA,FW,26-348,79.0,1,1,0,0,4,2,0,0,28.0,1.0,0,0.0,1.1,1.1,0.2,5.0,1.0,16.0,17.0,"94,1",2.0,15.0,0.0,2.0,0.0,2024-06-02
Gabriel Barbosa,Flamengo,99,BRA,FW,27-277,11.0,1,0,0,0,1,1,0,0,8.0,0.0,0,0.0,0.9,0.9,0.0,0.0,0.0,6.0,6.0,"100,0",1.0,6.0,1.0,1.0,0.0,2024-06-02
Everton Soares,Flamengo,11,BRA,LW,28-072,68.0,1,2,0,0,6,5,0,0,38.0,1.0,0,0.0,0.2,0.2,1.2,4.0,2.0,21.0,25.0,"84,0",2.0,30.0,3.0,6.0,1.0,2024-06-02
Bruno Henrique,Flamengo,27,BRA,LW,33-155,22.0,1,0,0,0,2,2,0,0,14.0,1.0,0,0.0,0.2,0.2,0.0,0.0,0.0,6.0,9.0,"66,7",1.0,8.0,1.0,0.0,0.0,2024-06-02
Gerson,Flamengo,8,BRA,RW,27-013,79.0,0,0,0,0,6,1,0,0,60.0,0.0,0,1.0,0.5,0.5,0.0,7.0,3.0,46.0,51.0,"90,2",3.0,38.0,2.0,2.0,0.0,2024-06-02
Luiz Araújo,Flamengo,7,BRA,RW,28-000,11.0,0,0,0,0,0,0,0,0,14.0,1.0,0,1.0,0.0,0.0,0.0,1.0,1.0,12.0,12.0,"100,0",2.0,6.0,0.0,0.0,0.0,2024-06-02
Giorgian De Arrascaeta,Flamengo,14,URU,AM,30-001,90.0,1,2,0,0,4,2,0,0,104.0,1.0,0,0.0,0.6,0.6,0.3,12.0,4.0,88.0,95.0,"92,6",12.0,56.0,3.0,2.0,2.0,2024-06-02
Nicolás De La Cruz,Flamengo,18,URU,DM,27-001,90.0,0,0,0,0,4,3,0,0,113.0,1.0,0,1.0,0.1,0.1,0.2,11.0,1.0,89.0,100.0,"89,0",15.0,64.0,3.0,0.0,0.0,2024-06-02
Allan,Flamengo,21,BRA,DM,27-091,39.0,0,0,0,0,0,0,0,0,36.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,31.0,33.0,"93,9",7.0,22.0,0.0,0.0,0.0,2024-06-02
Erick Pulgar,Flamengo,5,CHI,DM,30-139,51.0,0,0,0,0,0,0,0,0,70.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,55.0,61.0,"90,2",6.0,29.0,0.0,0.0,0.0,2024-06-02
Matías Viña,Flamengo,17,URU,LB,26-206,90.0,0,0,0,0,1,0,0,0,80.0,0.0,1,0.0,0.0,0.0,0.3,6.0,0.0,59.0,70.0,"84,3",6.0,37.0,1.0,4.0,3.0,2024-06-02
David Luiz,Flamengo,23,BRA,CB,37-041,90.0,1,0,0,0,1,1,0,0,70.0,0.0,1,0.0,0.2,0.2,0.0,2.0,0.0,60.0,64.0,"93,8",1.0,32.0,0.0,0.0,0.0,2024-06-02
Fabrício Bruno,Flamengo,15,BRA,CB,28-111,90.0,0,0,0,0,0,0,0,0,70.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,61.0,64.0,"95,3",4.0,32.0,0.0,0.0,0.0,2024-06-02
Guillermo Varela,Flamengo,2,URU,RB,31-070,79.0,0,0,0,0,1,1,0,0,61.0,1.0,1,0.0,0.0,0.0,0.3,2.0,0.0,53.0,57.0,"93,0",3.0,28.0,0.0,1.0,0.0,2024-06-02
Wesley,Flamengo,43,BRA,RB,20-270,11.0,0,1,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.9,0.0,0.0,5.0,6.0,"83,3",0.0,3.0,0.0,0.0,0.0,2024-06-02
Agustín Rossi,Flamengo,1,ARG,GK,28-286,90.0,0,0,0,0,0,0,0,0,24.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,23.0,"95,7",0.0,10.0,0.0,0.0,0.0,2024-06-02
Jonathan Calleri,São Paulo,9,ARG,FW,30-253,82.0,1,0,0,0,2,1,0,0,28.0,1.0,0,1.0,0.2,0.2,0.0,2.0,0.0,14.0,20.0,"70,0",2.0,20.0,1.0,0.0,0.0,2024-06-02
André Silva,São Paulo,17,BRA,FW,26-365,8.0,0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"100,0",0.0,2.0,0.0,0.0,0.0,2024-06-02
Lucas Moura,São Paulo,7,BRA,FW,31-294,74.0,1,0,0,0,2,1,0,0,46.0,2.0,4,0.0,0.1,0.1,0.0,2.0,0.0,34.0,38.0,"89,5",3.0,36.0,4.0,5.0,3.0,2024-06-02
Michel Araujo,São Paulo,15,URU,FW,27-248,16.0,0,0,0,0,1,0,0,0,20.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,15.0,"93,3",1.0,12.0,1.0,0.0,0.0,2024-06-02
Rodrigo Nestor,São Paulo,11,BRA,LM,23-298,90.0,0,0,0,0,3,1,0,0,62.0,0.0,1,1.0,0.1,0.1,0.0,1.0,0.0,45.0,55.0,"81,8",5.0,38.0,5.0,0.0,0.0,2024-06-02
Damián Bobadilla,São Paulo,21,PAR,CM,22-327,45.0,0,0,0,0,0,0,0,0,16.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,15.0,"86,7",1.0,13.0,0.0,0.0,0.0,2024-06-02
Luiz Gustavo,São Paulo,16,BRA,CM,36-315,45.0,0,0,0,0,0,0,0,0,43.0,1.0,1,0.0,0.0,0.0,0.1,2.0,0.0,37.0,40.0,"92,5",4.0,30.0,1.0,0.0,0.0,2024-06-02
Juan Santos,São Paulo,31,BRA,RM,22-088,90.0,0,0,0,0,1,0,0,0,43.0,1.0,1,3.0,0.0,0.0,0.0,3.0,1.0,22.0,29.0,"75,9",3.0,26.0,2.0,2.0,1.0,2024-06-02
Welington,São Paulo,6,BRA,LB,23-104,90.0,0,1,0,0,1,1,0,0,87.0,2.0,0,1.0,0.0,0.0,0.2,3.0,1.0,73.0,78.0,"93,6",9.0,60.0,4.0,5.0,3.0,2024-06-02
Robert Arboleda,São Paulo,5,ECU,CB,32-224,45.0,0,0,0,0,0,0,0,0,33.0,1.0,0,1.0,0.0,0.0,0.0,1.0,1.0,28.0,30.0,"93,3",0.0,16.0,0.0,0.0,0.0,2024-06-02
Diego,São Paulo,4,BRA,CB,24-317,45.0,0,0,0,0,0,0,0,0,46.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,44.0,"93,2",2.0,34.0,0.0,0.0,0.0,2024-06-02
João Moreira,São Paulo,30,POR,RB,20-012,43.0,0,0,0,0,0,0,0,0,32.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,18.0,25.0,"72,0",0.0,17.0,1.0,0.0,0.0,2024-06-02
Nahuel Ferraresi,São Paulo,32,VEN,RB,25-196,47.0,0,0,0,0,1,0,0,0,51.0,3.0,0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,47.0,"87,2",4.0,33.0,2.0,1.0,1.0,2024-06-02
Rafael Pires,São Paulo,23,BRA,GK,34-345,90.0,0,0,0,0,0,0,0,0,36.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,35.0,"85,7",0.0,19.0,0.0,0.0,0.0,2024-06-02
Rafael Silva,Cruzeiro,8,BRA,FW,32-059,45.0,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,5.0,5.0,"100,0",0.0,5.0,1.0,0.0,0.0,2024-06-02
Kaiki,Cruzeiro,6,BRA,LB,21-086,45.0,0,0,0,0,1,0,1,0,32.0,2.0,1,0.0,0.0,0.0,0.0,2.0,0.0,22.0,23.0,"95,7",1.0,14.0,1.0,4.0,1.0,2024-06-02
Gabriel Veron,Cruzeiro,30,BRA,AM,21-273,53.0,0,0,0,0,2,0,0,0,20.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,12.0,16.0,"75,0",3.0,12.0,0.0,0.0,0.0,2024-06-02
Ramiro Benetti,Cruzeiro,17,BRA,"RM,AM",31-011,37.0,0,0,0,0,0,0,0,0,29.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,"82,6",0.0,10.0,0.0,0.0,0.0,2024-06-02
Matheus Pereira,Cruzeiro,10,POR,AM,28-028,90.0,0,0,0,0,2,1,0,0,63.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,45.0,56.0,"80,4",3.0,30.0,3.0,6.0,3.0,2024-06-02
Álvaro Barreal,Cruzeiro,21,ARG,"LM,AM,LB",23-290,68.0,0,0,0,0,1,0,1,0,51.0,1.0,0,2.0,0.1,0.1,0.0,4.0,0.0,31.0,43.0,"72,1",5.0,22.0,1.0,1.0,0.0,2024-06-02
Vitor Hugo Amorim,Cruzeiro,22,BRA,AM,20-105,22.0,0,0,0,0,0,0,0,0,13.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,"80,0",0.0,5.0,1.0,0.0,0.0,2024-06-02
Lucas Romero,Cruzeiro,29,ARG,"CM,LM",30-045,80.0,0,0,0,0,0,0,0,0,70.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,66.0,68.0,"97,1",2.0,33.0,0.0,0.0,0.0,2024-06-02
Robert,Cruzeiro,80,BRA,LM,19-050,10.0,0,0,0,0,0,0,0,0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"100,0",0.0,1.0,0.0,0.0,0.0,2024-06-02
Lucas Silva,Cruzeiro,16,BRA,RM,31-107,53.0,0,0,0,0,1,0,0,0,37.0,0.0,1,0.0,0.0,0.0,0.1,2.0,0.0,27.0,31.0,"87,1",1.0,12.0,1.0,1.0,1.0,2024-06-02
João Pedro,Cruzeiro,55,BRA,"FW,RM",21-121,37.0,0,0,0,0,1,1,0,0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,"60,0",0.0,5.0,0.0,1.0,0.0,2024-06-02
Marlon,Cruzeiro,3,BRA,LB,27-013,37.0,0,0,0,0,0,0,0,1,25.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,19.0,22.0,"86,4",4.0,9.0,0.0,0.0,0.0,2024-06-02
João Marcelo,Cruzeiro,43,BRA,CB,23-355,90.0,0,0,0,0,0,0,0,0,68.0,0.0,2,1.0,0.0,0.0,0.0,1.0,0.0,60.0,62.0,"96,8",5.0,27.0,0.0,0.0,0.0,2024-06-02
Zé Ivaldo,Cruzeiro,5,BRA,CB,27-102,90.0,0,0,0,0,1,1,0,0,60.0,2.0,0,1.0,0.1,0.1,0.0,1.0,0.0,39.0,50.0,"78,0",4.0,23.0,1.0,0.0,0.0,2024-06-02
William,Cruzeiro,12,BRA,RB,29-060,90.0,0,0,0,0,1,0,0,0,64.0,1.0,1,1.0,0.1,0.1,0.1,1.0,0.0,41.0,50.0,"82,0",3.0,18.0,0.0,4.0,2.0,2024-06-02
Anderson,Cruzeiro,98,BRA,GK,26-089,90.0,0,0,0,0,0,0,0,0,31.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,29.0,"93,1",0.0,14.0,0.0,0.0,0.0,2024-06-02
Renato Kayser,Fortaleza,79,BRA,FW,28-106,77.0,0,0,0,0,1,0,0,0,33.0,2.0,0,2.0,0.0,0.0,0.0,2.0,0.0,18.0,20.0,"90,0",0.0,20.0,1.0,1.0,0.0,2024-06-02
Juan Martín Lucero,Fortaleza,9,ARG,FW,32-185,13.0,0,0,0,0,1,0,0,0,6.0,0.0,0,0.0,0.1,0.1,0.1,2.0,0.0,4.0,4.0,"100,0",1.0,4.0,1.0,1.0,1.0,2024-06-02
Breno,Fortaleza,26,BRA,LW,28-130,78.0,0,0,0,0,3,1,0,0,38.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,23.0,31.0,"74,2",1.0,28.0,5.0,3.0,1.0,2024-06-02
Moises,Fortaleza,21,BRA,LW,27-274,12.0,0,0,0,0,3,2,0,0,10.0,0.0,0,0.0,0.9,0.9,0.0,0.0,0.0,2.0,6.0,"33,3",0.0,7.0,3.0,1.0,0.0,2024-06-02
Imanol Machuca,Fortaleza,39,ARG,RW,24-139,61.0,0,1,0,0,0,0,0,0,30.0,2.0,0,0.0,0.0,0.0,0.2,2.0,1.0,18.0,21.0,"85,7",0.0,17.0,0.0,4.0,0.0,2024-06-02
Tomas Pochettino,Fortaleza,7,ARG,RW,28-122,29.0,0,0,0,0,1,0,0,0,18.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,12.0,"41,7",0.0,10.0,0.0,2.0,0.0,2024-06-02
Leandro Emmanuel Martínez,Fortaleza,8,ARG,LM,29-364,90.0,0,0,0,0,1,0,1,0,51.0,3.0,2,1.0,0.0,0.0,0.0,3.0,1.0,36.0,40.0,"90,0",3.0,32.0,2.0,2.0,2.0,2024-06-02
Pedro Borges,Fortaleza,28,BRA,CM,27-091,61.0,0,0,0,0,0,0,1,0,51.0,5.0,0,0.0,0.0,0.0,0.0,3.0,0.0,39.0,41.0,"95,1",6.0,27.0,0.0,0.0,0.0,2024-06-02
José Welison,Fortaleza,17,BRA,CM,29-083,29.0,0,0,0,0,0,0,0,0,13.0,1.0,0,0.0,0.0,0.0,0.5,1.0,0.0,7.0,8.0,"87,5",1.0,3.0,0.0,1.0,0.0,2024-06-02
Hércules,Fortaleza,35,BRA,RM,23-226,90.0,0,0,0,0,0,0,0,0,49.0,4.0,0,0.0,0.0,0.0,0.3,3.0,0.0,31.0,40.0,"77,5",6.0,29.0,0.0,1.0,1.0,2024-06-02
Felipe Jonatan,Fortaleza,36,BRA,LB,26-108,84.0,0,0,0,0,0,0,0,0,36.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,23.0,29.0,"79,3",1.0,13.0,0.0,2.0,1.0,2024-06-02
Bruno Pacheco,Fortaleza,6,BRA,LB,32-177,6.0,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"0,0",0.0,1.0,0.0,0.0,0.0,2024-06-02
Tomás Cardona,Fortaleza,25,ARG,CB,28-236,90.0,0,0,0,0,0,0,0,0,66.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,40.0,55.0,"72,7",1.0,39.0,0.0,0.0,0.0,2024-06-02
Benjamín Kuscevic,Fortaleza,13,CHI,CB,28-031,90.0,1,0,0,0,1,1,0,0,69.0,1.0,0,2.0,0.2,0.2,0.0,0.0,0.0,44.0,56.0,"78,6",0.0,35.0,0.0,1.0,0.0,2024-06-02
Guilherme Tinga,Fortaleza,2,BRA,RB,30-275,90.0,0,0,0,0,0,0,0,0,75.0,4.0,0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,64.0,"73,4",6.0,37.0,3.0,0.0,0.0,2024-06-02
João Ricardo Riedi,Fortaleza,1,BRA,GK,35-270,90.0,0,0,0,0,0,0,0,0,38.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,37.0,"64,9",0.0,21.0,0.0,0.0,0.0,2024-06-02
Pablo,Athletico Paranaense,92,BRA,FW,31-345,45.0,0,0,0,0,0,0,0,0,14.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,11.0,"81,8",1.0,6.0,0.0,0.0,0.0,2024-06-02
Julimar,Athletico Paranaense,20,BRA,FW,23-129,45.0,0,0,0,0,1,1,0,0,29.0,3.0,0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,24.0,"79,2",4.0,17.0,2.0,1.0,1.0,2024-06-02
Agustín Canobbio,Athletico Paranaense,14,URU,LM,25-245,65.0,0,0,0,0,2,0,0,0,21.0,1.0,0,0.0,0.1,0.1,0.1,4.0,0.0,8.0,12.0,"66,7",1.0,15.0,1.0,3.0,2.0,2024-06-02
Bruno Zapelli,Athletico Paranaense,10,ARG,LM,22-016,25.0,0,0,0,0,0,0,0,0,25.0,1.0,0,1.0,0.0,0.0,0.1,1.0,0.0,11.0,16.0,"68,8",1.0,14.0,2.0,4.0,1.0,2024-06-02
Christian,Athletico Paranaense,88,BRA,CM,23-166,65.0,0,0,0,0,1,0,1,0,39.0,2.0,1,2.0,0.1,0.1,0.0,2.0,0.0,23.0,28.0,"82,1",5.0,17.0,1.0,2.0,0.0,2024-06-02
José Vitor Silva Neves,Athletico Paranaense,30,BRA,CM,24-031,25.0,0,0,0,0,0,0,1,0,25.0,2.0,0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,21.0,"71,4",1.0,18.0,1.0,1.0,0.0,2024-06-02
Erick,Athletico Paranaense,26,BRA,CM,26-201,90.0,0,0,0,0,3,1,0,0,49.0,0.0,1,3.0,0.2,0.2,0.0,1.0,0.0,28.0,36.0,"77,8",3.0,23.0,0.0,4.0,1.0,2024-06-02
Nikão,Athletico Paranaense,11,BRA,RM,31-309,90.0,0,0,0,0,3,0,0,0,57.0,2.0,4,2.0,0.1,0.1,0.2,6.0,0.0,29.0,37.0,"78,4",8.0,35.0,2.0,5.0,2.0,2024-06-02
Filipinho,Athletico Paranaense,23,BRA,DM,22-228,45.0,0,0,0,0,0,0,1,0,22.0,3.0,3,0.0,0.0,0.0,0.0,1.0,0.0,12.0,14.0,"85,7",1.0,13.0,2.0,2.0,1.0,2024-06-02
Lucas Di Yorio,Athletico Paranaense,7,ARG,DM,27-193,45.0,0,0,0,0,1,0,0,0,12.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,"55,6",0.0,4.0,2.0,0.0,0.0,2024-06-02
Fernando,Athletico Paranaense,6,BRA,LB,24-262,80.0,0,0,0,0,1,0,0,0,57.0,2.0,0,0.0,0.0,0.0,0.0,2.0,0.0,41.0,48.0,"85,4",3.0,34.0,2.0,5.0,2.0,2024-06-02
Gonzalo Mastriani,Athletico Paranaense,9,URU,LB,31-035,10.0,0,0,0,0,2,0,0,0,4.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,2.0,"0,0",0.0,3.0,0.0,0.0,0.0,2024-06-02
Thiago Heleno,Athletico Paranaense,44,BRA,CB,35-259,90.0,0,0,0,0,0,0,0,0,62.0,1.0,2,2.0,0.0,0.0,0.0,1.0,0.0,41.0,51.0,"80,4",1.0,35.0,0.0,0.0,0.0,2024-06-02
Kaique Rocha,Athletico Paranaense,4,BRA,CB,23-095,90.0,0,0,0,0,0,0,0,0,64.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,47.0,53.0,"88,7",4.0,30.0,1.0,2.0,2.0,2024-06-02
Mádson,Athletico Paranaense,22,BRA,RB,32-141,90.0,0,0,0,0,1,0,1,0,46.0,0.0,1,1.0,0.1,0.1,0.1,1.0,0.0,25.0,40.0,"62,5",1.0,17.0,2.0,0.0,0.0,2024-06-02
Bento,Athletico Paranaense,1,BRA,GK,24-358,90.0,0,0,0,0,0,0,0,0,29.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,26.0,"73,1",0.0,13.0,0.0,0.0,0.0,2024-06-02
Yuri Alberto,Corinthians,9,BRA,FW,23-075,90.0,0,0,0,0,2,1,0,0,21.0,0.0,0,1.0,0.1,0.1,0.0,1.0,0.0,14.0,16.0,"87,5",1.0,12.0,1.0,0.0,0.0,2024-06-01
